laptop_title,asin,id,Laptop Type,price,brand,RAM,CPU,Hard Drive,Graphics Coprocessor,Operating System,Standing screen display size,Screen Resolution,color,Item Weight,Product Dimensions,ssd_size_gb,hdd_size_gb,Normalized Hard Drive,storage_type_bitmask,price_bucket,screen_size_bucket,RAM Bucket,Normalized OS,GPU Tier,Screen Resolution Bucket,bitmask,storage_config
"ACER PREDATOR HELIOS 300 PH315-54-760S GAMING LAPTOP | INTEL I7-11800H | NVIDIA GEFORCE RTX 3060 GPU | 15.6"" FHD 144HZ 3MS IPS DISPLAY | 16GB DDR4 | 512GB SSD | KILLER WIFI 6 | RGB KEYBOARD",b092yhjls6,10,Gaming,1151,Acer,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 3060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.51 pounds,14.31 x 10.04 x 0.9 inches,512,,ssd only,1,1000-1200,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010001000010011010001001001010001,hdd+ssd
"LENOVO IDEAPAD 330 LAPTOP, 15.6"" FHD (1920X1080) ANTI-GLARE, INTEL 8TH GEN CORE I7-8750H PROCESSOR, NVIDIA GTX 1050, 12 GB DDR4, 1 TB HDD+16 GB OPTANE MEMORY, WINDOWS 10 HOME), 81FK009UUS, ONYX BLACK",b07hqw4194,11,Gaming,640,Lenovo,16GB,Intel Core I7,1TB HDD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Onyx Black,4.84 pounds,14 x 9 x 0.7 inches,,1024,hdd only,2,<800,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000010110011001011001001010001,ssd+hdd
"MSI GL72M 7RDX-800 17.3"" INTEL CORE I7 7TH GEN 7700HQ (2.80 GHZ) NVIDIA GEFORCE GTX 1050 8 GB MEMORY 128 GB SSD 1 TB HDD WINDOWS 10 HOME 64-BIT GAMING LAPTOP",b072mtxblm,12,Gaming,1200,MSI,8GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,5.95 pounds,14 x 9 x 0.7 inches,1152,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010011000011010011001011010001,hdd+ssd
"DELL XPS 17 9720 LAPTOP 17 INCH UHD+ TOUCHSCREEN DISPLAY, INTEL CORE I7-12700H, 16GB DDR5, 512GB SSD, NVIDIA GEFORCE RTX 3050, KILLER WI-FI 6, WINDOW 11 PRO, 1-YEAR PREMIUM SUPPORT - SILVER",b09yc1x778,13,Gaming,2125,Dell,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 3050,Windows 10 Home,17.0 inches,3840 x 2400 pixels,Silver,5.67 pounds,9.76 x 14.74 x 0.51 inches,512,,ssd only,1,2000-2500,15-17,16-Aug,Windows 10,Mid-Range GPU,High Res,010100001001011010011001001000001,hdd+ssd
"LENOVO IDEAPAD GAMING 3 - (2022) - ESSENTIAL GAMING LAPTOP COMPUTER - 15.6"" FHD - 120HZ - AMD RYZEN 5 6600H - NVIDIA GEFORCE RTX 3050 - 8GB DDR5 RAM - 256GB NVME STORAGE - WINDOWS 11 HOME",b09rnd1lp2,14,Gaming,670,Lenovo,8GB,AMD Ryzen 5,256GB SSD,Nvidia Geforce RTX 3050,Windows 11 Home,15.6 inches,1920 x 1080 pixels,Black,7.55 pounds,14.16 x 10.49 x 1.02 inches,256,,ssd only,1,<800,15-17,16-Aug,Windows 11,Mid-Range GPU,Medium Res,011000010110000010011010001010001,hdd+ssd
"HP ENVY 13-13.99 INCHES THIN LAPTOP W/ FINGERPRINT READER, 4K TOUCHSCREEN, INTEL CORE I7-8565U, NVIDIA GEFORCE MX250 GRAPHICS, 16GB SDRAM, 512GB SSD, WINDOWS 10 HOME (13-AQ0044NR, NATURAL SILVER)",b07ppdffg9,15,Everyday Use,1600,HP,16GB,Intel Core I7,512GB SSD,Nvidia Geforce MX250,Windows 10 Home,13.3 inches,3840 x 2160 pixels,Natural Silver,2.6 pounds,13.3 x 8.9 x 0.9 inches,512,,ssd only,1,1600-2000,13-15,16-Aug,Windows 10,Unknown,High Res,000011010001011010101001000000001,hdd+ssd
"DELL PRECISION 5750, 17 INCH UHD+ TOUCH LAPTOP - INTEL CORE I7-10750H, 32GB DDR4 RAM, 512GB SSD HD, NVIDIA QUADRO RTX 3000 6GB, WINDOWS 10 PRO - SILVER",b08g58z3fg,16,Gaming,2840,Dell,32GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 3000,Windows 10 Pro,15.6 inches,1920 x 1080 pixels,Black,9.18 pounds,14.0 x 9.0 x 0.7 inches,512,,ssd only,1,2500-3000,15-17,24-32,Windows 10,Unknown,Medium Res,010101001001011010101001001010000,hdd+ssd
"DELL XPS 17 9710 TOUCHSCREEN LAPTOP, 17 INCH UHD+ DISPLAY - INTEL CORE I9-11900H, 32GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3060 6GB GDDR6, WINDOWS 10 PRO - PLATINUM SILVER",b07gw74b6n,17,Gaming,2840,Dell,32GB,Intel Core I9,1TB SSD,Nvidia Geforce RTX 3060,Windows 10 Pro,17.0 inches,3840 x 2400 pixels,Silver,5.53 pounds,9.76 x 14.74 x 0.77 inches,1024,,ssd only,1,2500-3000,15-17,24-32,Windows 10,High-End GPU,High Res,010101001001011110001001001000000,hdd+ssd
"HP PAVILION GAMING 15-INCH LAPTOP, INTEL CORE I5-9300H, NVIDIA GEFORCE GTX 1650, 12GB RAM, 512GB SSD, WINDOWS 10 (15-DK0042NR, BLACK)",b07sgg6hvb,18,Gaming,875,HP,12GB,Intel Core I5,512GB SSD,Nvidia Geforce GTX 1650,Windows 10,15.6 inches,1920 x 1080 pixels,Black,4.92 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111010001010110011001001010001,hdd+ssd
"CUK HP PAVILION 17 TOUCH GAMING LAPTOP (INTEL I7-7700HQ, 16GB DDR4 RAM, 128GB SSD + 1TB HDD, NVIDIA GTX 1050 4GB, WINDOWS 10, FULL HD TOUCHSCREEN) BANG & OLUFSEN MULTIMEDIA VIDEO MUSIC PRODUCTION",b01h40lc64,19,Gaming,600,HP,16GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 1050,Windows 10,17.3 inches,1920 x 1080 pixels,Black,6.76 pounds,16.3 x 10.98 x 1.17 inches,1152,,ssd only,1,<800,>17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000010001011010011001011010001,hdd+ssd
"ASUS N580VD-DB74T VIVOBOOK PRO 15 FHD TOUCHSCREEN LAPTOP, INTEL CORE I7, NVIDIA GEFORCE GAMING GTX 1050 4GB, 16GB RAM, 512GB SSD, BACKLIT KEYBOARD, 15.6""",b0747s3v8d,20,Gaming,1200,ASUS,16GB,Intel Core I7,512GB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.0 pounds,15.0 x 10.1 x 0.8 inches,512,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010000001011010011001001010001,hdd+ssd
"MSI GE75 RAIDER-287 17.3"" GAMING LAPTOP, 144HZ DISPLAY, THIN BEZEL, INTEL CORE I7-9750H, NVIDIA GEFORCE RTX2060, 16GB, 512GB NVME SSD",b07qc4gzcc,21,Gaming,600,MSI,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX2060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.73 pounds,15.63 x 10.57 x 1.08 inches,512,,ssd only,1,<800,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000011000011010011001001010001,hdd+ssd
"CUK GF65 THIN BY MSI 15 INCH GAMING NOTEBOOK (INTEL CORE I7, 32GB RAM, 2TB NVME SSD, NVIDIA GEFORCE GTX 1660 TI 6GB, 15.6"" FHD 120HZ IPS-LEVEL, WINDOWS 10 HOME) GAMER LAPTOP COMPUTER",b079scfypf,22,Gaming,1200,MSI,32GB,Intel Core I7,2TB SSD,Nvidia Geforce GTX 1660,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,4.1 pounds,14.13 x 9.99 x 0.85 inches,2048,,ssd only,1,1200-1600,15-17,24-32,Windows 10,Mid-Range GPU,Medium Res,010010011000011010011001001010000,hdd+ssd
"RAZER BLADE 14 GAMING LAPTOP: AMD RYZEN 9 5900HX 8 CORE, NVIDIA GEFORCE RTX 3070, 14"" QHD 165HZ, 16GB RAM, 1TB SSD - CNC ALUMINUM - CHROMA RGB - THX SPATIAL AUDIO - VAPOR CHAMBER COOLING",b094658smy,23,Gaming,1800,Razer,16GB,AMD Ryzen 9,1TB SSD,Nvidia Geforce RTX 3060,Windows 10 Home,14.0 inches,2560 x 1440 pixels,Black,3.92 pounds,8.66 x 12.59 x 0.66 inches,1024,,ssd only,1,1600-2000,13-15,16-Aug,Windows 10,High-End GPU,High Res,010011011100001010001001000000001,hdd+ssd
"HP OMEN 15.6 INCH TOUCHSCREEN GAMING LAPTOP (INTEL CORE I7, 8 GB, 256 GB SSD, BLACK) NVIDIA GEFORCE GTX 960M",b00x5x2mw8,24,Gaming,1200,HP,8GB,Intel Core I7,256GB SSD,Nvidia Geforce GTX 960,Windows 8,15.6 inches,1920 x 1080 pixels,Black,4.68 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,1200-1600,15-17,16-Aug,Windows 8,Unknown,Medium Res,010010010001011010101100001010001,hdd+ssd
"ALIENWARE M15 15.6"" GAMING NOTEBOOK - 1920 X 1080 - CORE I7 I7-8750H - 16 GB RAM - 512 GB SSD - EPIC SILVER - WINDOWS 10 HOME 64-BIT - NVIDIA GEFORCE RTX 2070 WITH 8 GB - IN-PLANE SWITCHING (IPS)",b07tl5qb92,25,Gaming,1800,Alienware,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 2070,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,10.65 pounds,14.0 x 9.0 x 0.7 inches,512,,ssd only,1,1600-2000,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010011000011011010001001001010001,hdd+ssd
"LENOVO LEGION Y520 15.6 INCH FHD GAMING LAPTOP COMPUTER (INTEL CORE I5-7300HQ, NVIDIA GEFORCE GTX 1050 TI 4GB, 8GB RAM, 256GB PCIE SSD, WINDOWS 10) 80WK00FHUS",b06wvmj713,26,Gaming,790,Lenovo,8GB,Intel Core I5,256GB SSD,Nvidia Geforce GTX 1050,Windows 10,15.6 inches,1920 x 1080 pixels,Black,5.28 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,<800,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000010110010110011001001010001,hdd+ssd
"DELL 15.6-INCH GAMING LAPTOP (6TH GEN INTEL QUAD-CORE I5-6300HQ PROCESSOR UP TO 3.2GHZ, 8GB DDR3, 256GB SSD, NVIDIA GEFORCE GTX 960M, WINDOWS 10)",b015pyydmq,27,Gaming,769,Dell,8GB,Intel Core I5,256GB SSD,Nvidia Geforce GTX 960,Windows 10,15.6 inches,1920 x 1080 pixels,Black,6.0 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,<800,15-17,16-Aug,Windows 10,Unknown,Medium Res,011000001001010110101001001010001,hdd+ssd
"ASUS ROG Zephyrus S17 (2021) Gaming Laptop, 17.3Â 165Hz QHD Display, NVIDIA GeForce RTX 3080, Intel Core i9-11900H, 32GB DDR4, 2TB SSD, Per-Key RGB Keyboard, Thunderbolt 4, Windows 10, GX703HS-XB98",b096v9pfv3,28,Gaming,2100,ASUS,32GB,Intel Core I9,2TB SSD,Nvidia Geforce RTX 3080,Windows 10,17.3 inches,2560 x 1440 pixels,Off Black,5.73 pounds,15.51 x 10.39 x 0.78 inches,2048,,ssd only,1,2000-2500,>17,24-32,Windows 10,High-End GPU,High Res,010100000001011110001001011000000,hdd+ssd
"HP ENVY 17T TOUCH 2019 MODEL, INTEL CORE I7-8565U QUAD CORE, 512GB SSD, 16GB RAM, WIN 10 PRO INSTALLED,17.3 FHD WLED TOUCH, NVIDIA 4GB DDR5 MX250 (2018 17T)",b07fp1qj5p,29,Everyday Use,1025,HP,16GB,Intel Core I7,512GB SSD,No Graphics Card,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Silver,6.63 pounds,16.38 x 11.4 x 1.0 inches,512,,ssd only,1,1000-1200,>17,16-Aug,Windows 10,No GPU,Medium Res,000001010001011010100001011010001,hdd+ssd
"HP 14-INCH CHROMEBOOK (NVIDIA TEGRA K1 PROCESSOR, 2GB RAM, 16GB SDD, CHROME OS), OCEAN TURQUOISE - CERTIFIED REFURBISHED",b011jbhfv0,30,Everyday Use,600,HP,16GB,NVIDIA Tegra K1,256GB SSD,No Graphics Card,Chrome OS,14.0 inches,1920 x 1080 pixels,Black,4.0 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,<800,13-15,16-Aug,Chrome OS,No GPU,Medium Res,001000010001101010100000000010001,hdd+ssd
"ASUS ROG Zephyrus Duo SE 15 Gaming Laptop, 15.6Â 300Hz IPS Type FHD Display, NVIDIA GeForce RTX 3060, AMD Ryzen 9 5980HX, 16GB DDR4, 1TB PCIe SSD, Per-Key RGB Keyboard, Windows 10 Home, GX551QM-ES96",b0762s8pym,31,Gaming,1200,ASUS,16GB,AMD Ryzen 9,1TB SSD,Nvidia Geforce RTX 3060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Off Black,5.47 pounds,14.17 x 10.55 x 0.82 inches,1024,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010010000001001010001001001010001,hdd+ssd
"DELL ALIENWARE R4 15.6"" FULL HD GAMING LAPTOP, 8TH GEN INTEL CORE I7-8750H, 16GB MEMORY, 1TB HDD + 8GB SSD, NVIDIA GEFORCE GTX 1060 6GB, WINDOWS 10",b07bpqy9q8,32,Gaming,2099,Dell,16GB,Intel Core I7,1TB SSD,Nvidia Geforce GTX 1060,Windows 10,15.6 inches,1920 x 1080 pixels,Epic Silver,7.69 pounds,14 x 9 x 0.7 inches,1024,,ssd only,1,2000-2500,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010100001001011010011001001010001,hdd+ssd
"ALIENWARE AW17R4-7345SLV-PUS 17"" LAPTOP (7TH GENERATION INTEL CORE I7, 16GB RAM, 1TB HDD, SILVER) VR READY WITH NVIDIA GTX 1070",b01n0thp9l,33,Gaming,1800,Alienware,16GB,Intel Core I7,1TB HDD,Nvidia Geforce GTX 1070,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Epic Silver,9.7 pounds,14 x 9 x 0.7 inches,,1024,hdd only,2,1600-2000,>17,16-Aug,Windows 10,High-End GPU,Medium Res,010011000011011001001001011010001,ssd+hdd
"ALIENWARE 17 ANW17-2136SLV 17 INCH LAPTOP (2.50GHZ INTEL CORE I7 4710HQ PROCESSOR, 8GB MEMORY 1TB HDD NVIDIA GEFORCE GTX 970M 3 GB GDDR5 WINDOWS 8.1 64-BIT) [DISCONTINUED BY MANUFACTURER]",b00sijgoeg,34,Gaming,1800,Alienware,8GB,Intel Core I7,1TB HDD,Nvidia Geforce GTX 970,Windows 8,17.0 inches,1920 x 1080 pixels,Black,8.33 pounds,15.6 x 10.4 x 1 inches,,1024,hdd only,2,1600-2000,15-17,16-Aug,Windows 8,Unknown,Medium Res,010011000011011001101100001010001,ssd+hdd
"ALIENWARE AW13R3-75291SLV-PUS 13.3"" GAMING LAPTOP (7TH GENERATION INTEL CORE I5, 8GB RAM, 256 SSD, SILVER) WITH NVIDIA GTX 1050TI",b01ncooyyx,35,Gaming,1800,Alienware,8GB,Intel Core I5,256GB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,13.3 inches,1920 x 1080 pixels,Epic Silver,5.8 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,1600-2000,13-15,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010011000011010110011001000010001,hdd+ssd
"ACER PREDATOR HELIOS 300 GAMING LAPTOP, INTEL I7-10750H, NVIDIA GEFORCE RTX 2060 6GB, 15.6"" FULL HD 144HZ 3MS IPS DISPLAY, 16GB DUAL-CHANNEL DDR4, 512GB NVME SSD, WI-FI 6, RGB KEYBOARD, PH315-53-72XD",b08842d7js,36,Gaming,1105,Acer,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 2060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Red,5.51 pounds,14.31 x 10.04 x 0.9 inches,512,,ssd only,1,1000-1200,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010001000010011010011001001010001,hdd+ssd
"RAZER BLADE STEALTH 13 ULTRABOOK LAPTOP: INTEL CORE I7-8565U 4-CORE, NVIDIA GEFORCE MX150, 13.3"" FHD 1080P, 16GB RAM, 256GB SSD, CNC ALUMINUM, CHROMA RGB LIGHTING, THUNDERBOLT 3, BLACK",b07l39ph24,37,Gaming,1460,Razer,16GB,Intel Core I7,256GB SSD,Nvidia Geforce MX150,Windows 10 Home,13.3 inches,1920 x 1080 pixels,Black,2.91 pounds,8.27 x 11.9 x 0.58 inches,256,,ssd only,1,1200-1600,13-15,16-Aug,Windows 10,Unknown,Medium Res,010010011100011010101001000010001,hdd+ssd
"ASUS ROG GL502VS-DB71 15.6"" FULLÂ­HD GAMING LAPTOP, INTEL CORE I7Â­6700HQ, NVIDIA GTX 1070, 256GB PCIE SSD+1TB HDD, WINDOWS 10, BLACK",b01k1inyd0,38,Gaming,850,ASUS,16GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 1070,Windows 10,15.6 inches,1920 x 1080 pixels,Black,4.9 pounds,15.4 x 10.5 x 1.2 inches,1280,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010111000001011010001001001010001,hdd+ssd
"ACER 2023 NEWEST PREDATOR TRITON GAMING LAPTOP, 16"" 240HZ DISPLAY, INTEL CORE I7 12700H PROCESSOR, NVIDIA GEFORCE RTX 3060 GRAPHICS, 16GB DDR5 RAM, 1TB SSD, BACKLIT KEYBOARD, WINDOWS 11 HOME, SILVER",b014vbyyy6,39,Gaming,1560,Acer,16GB,Intel Core I7,1TB SSD,Nvidia Geforce RTX 3060,Windows 11 Home,16.0 inches,2560 x 1600 pixels,Silver,5.29 pounds,14 x 9 x 0.7 inches,1024,,ssd only,1,1200-1600,15-17,16-Aug,Windows 11,High-End GPU,High Res,010010000010011010001010001000001,hdd+ssd
"ALIENWARE 15 R3 AW15R3 LAPTOP WITH QUAD-CORE I7-6700HQ UP TO 3.50 GHZ TURBO, 16GB DDR4, 128SSD + 1TB HDD, AND NVIDIA GEFORCE GTX1060 6GB GDDR5 (BLACK)",b01ly2i7b6,40,Gaming,1800,Alienware,16GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 1060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,8.0 pounds,14 x 9 x 0.7 inches,1152,,ssd only,1,1600-2000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010011000011011010011001001010001,hdd+ssd
"ACER ASPIRE 5 A515-51G-53V6, 15.6"" FULL HD, 8TH GEN INTEL CORE I5-8250U, ALEXA BUILT-IN, NVIDIA GEFORCE MX150, 8GB DDR4, 256GB SSD, OBSIDIAN BLACK",b07brgr426,41,Everyday Use,800,Acer,8GB,Intel Core I5,256GB SSD,Nvidia Geforce MX150,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Obsidian Black,4.41 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Unknown,Medium Res,000111000010010110101001001010001,hdd+ssd
"DELL G7 17 GAMING LAPTOP (WINDOWS 10 HOME, 9TH GEN INTEL CORE I7-9750H, NVIDIA GTX 1660 TI 6G, 17.3"" FHD LCD SCREEN, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",b07rcp7zv8,42,Gaming,961,Dell,16GB,Intel Core I7,512GB SSD,No Graphics Card,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Gray,7.28 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,800-1000,>17,16-Aug,Windows 10,No GPU,Medium Res,010111001001011010100001011010001,hdd+ssd
"DELL XPS 17 9710, 17 INCH FHD+ LAPTOP - INTEL CORE I7-11800H,16GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3050 4GB GDDR6, WINDOWS 11Â  HOME + 1Â  YEAR PREMIUM SUPPORTÂ  - PLATINUM SILVER",b09dfbbgc3,43,Gaming,1298,Dell,16GB,Intel Core I7,1TB SSD,Nvidia Geforce RTX 3050,Windows 11,17.0 inches,1920 x 1200 pixels,Silver,4.65 pounds,9.76 x 13.57 x 0.71 inches,1024,,ssd only,1,1200-1600,15-17,16-Aug,Windows 11,Mid-Range GPU,Medium Res,010010001001011010011010001010001,hdd+ssd
"DELL INSPIRON 15 5000 LAPTOP, 15.6-INCH FHD (1920 X 1080) IPS, INTEL I7-8565, NVIDIA(R) GEFORCE(R) MX250 WITH 2GB GDDR, 8GB DDR4 RAM, 128 GB SSD+1TB HD",b07pzq9lsn,44,Gaming,1200,Dell,8GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Silver,3.94 pounds,14.0 x 9.0 x 0.7 inches,1152,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010001001011010011001001010001,hdd+ssd
